name,ipc,l3_mpki,l3_acpki,mem_bwdth,avg_l2_miss_stalls,tot_l2_miss_stalls,l2_miss_stalls_pros_tot_cycles,l3_mpki_pros_l3_acpki,noise,sensitivity
541.leela_r_medium-9,1.2815625,0.0011783611,0.6442886441,0.9015625,4501702.21875,288108942,0.0020813012,0.0018289336,0,0
541.leela_r_short-19,1.268959276,0.0011745387,1.1968412905,0.7769230769,7155481.08597285,1581361320,0.0032682504,0.0009813654,0,0
541.leela_r_medium-19,1.2611138614,0.0008194602,1.0247854003,0.722029703,6717030.71782178,2713680410,0.0030612722,0.0007996408,0,0
541.leela_r_medium-13,1.2491549296,0.001125464,0.8938535982,0.9112676056,5506958.09859155,390994025,0.0025418103,0.0012591145,0,0
511.povray_r_prim-solid,1.3006666667,0.0012107173,26.6611603208,0.9383333333,395136275.3,23708176518,0.183181847,4.54112771170365E-05,0,0
511.povray_r_grass,0.7873043478,5.6174451117,17.3959951477,537.4086956522,965993843.53913,111089292007,0.443379812,0.3229159967,0,2
511.povray_r_pillars,1.1168032787,0.0044168229,18.7456725462,1.1893442623,240397890.811475,29328542679,0.1103227414,0.0002356183,0,1
511.povray_r_lumpy-ref,2.5817073171,0.0004940394,0.0725242153,1.2402439024,972899.963414634,79777797,0.0004482494,0.0068120617,0,0
511.povray_r_prim-trans,1.4914492754,0.0007518607,15.4524590076,0.7079710145,289481350.050725,39948426307,0.1326264172,4.86563798226718E-05,0,0
511.povray_r_prim-apert,1.7051111111,0.0005788491,8.974646608,0.657037037,178655217.648148,48236908765,0.0815425883,6.44982662909794E-05,0,0
531.deepsjeng_r_short-1,1.5,2.1715955323,3.2400390155,925.4785714286,92770713.0714286,1298789983,0.045666068,0.6702374638,1,1
531.deepsjeng_r_long-1,1.7178913738,0.3973221211,0.8384636181,142.8392971246,99726706.4153355,31214459108,0.045486201,0.4738692444,1,2
531.deepsjeng_r_long-2,1.6776923077,0.5415714945,1.0537963543,207.7709401709,103860063.871795,12151627473,0.0476334068,0.5139242438,1,1
531.deepsjeng_r_medium-2,1.6436585366,0.6376547298,1.1982430262,248.6536585366,103820919.085366,8513315365,0.0478068184,0.532158098,1,2
531.deepsjeng_r_medium-3,1.6413483146,0.6122607358,1.1342280748,240.5696629213,101340507.955056,9019305208,0.046605356,0.5398038979,1,1
531.deepsjeng_r_long-3,1.7109355509,0.3865506589,0.8399653289,133.7488565489,103140733.83368,49610692974,0.0469834015,0.4601983506,1,2
531.deepsjeng_r_short-3,1.425,3.0505781283,4.4460270404,1242.08,87196233.9,871962339,0.0443555603,0.6861357568,1,1
531.deepsjeng_r_medium-1,1.5561904762,1.5119427296,2.373870717,654.6285714286,95263695.5238095,2000537606,0.0455485505,0.636910308,1,1
531.deepsjeng_r_short-2,1.6064705882,0.8046517332,1.3918587207,321.6078431373,109972388.431373,5608591810,0.0510301482,0.5781130809,1,1
548.exchange2_r_000,2.2904754601,0.0004064719,0.0057982841,0.8326687117,282650.737730061,184288281,0.0001286893,0.0701020942,0,0
548.exchange2_r_008,2.2826421801,0.0004218749,0.0054854583,0.8718009479,170945.882701422,144278325,7.77981242878488E-05,0.0769078733,0,0
548.exchange2_r_007,2.2991489362,0.0003818237,0.0058808447,0.7625531915,435543.178723404,307057941,0.0001982704,0.0649266704,0,0
548.exchange2_r_006,2.2549428868,0.0003923699,0.0062405651,0.838317757,403856.84423676,388914141,0.0001837729,0.0628741015,0,0
548.exchange2_r_001,2.2182571429,0.0004351966,0.0082529164,0.8745714286,168883.026666667,177327178,7.68444111119E-05,0.0527324634,0,0
548.exchange2_r_003,2.283125,0.0004000241,0.0058553743,0.7793478261,168284.279891304,123857230,7.6604337759211E-05,0.0683174303,0,0
548.exchange2_r_002,2.3000707547,0.0004386457,0.0073683885,0.8377358491,262949.216981132,222980936,0.0001196749,0.0595307571,0,0
548.exchange2_r_004,2.295375626,0.0004122206,0.0057260216,0.8312186978,189330.510851419,113408976,8.62155981437895E-05,0.0719907532,0,0
548.exchange2_r_005,2.3007476636,0.0004039185,0.0091881745,0.7710280374,185095.53894081,59415668,8.44124761806501E-05,0.0439606943,0,0
548.exchange2_r_009,2.0873144876,0.0004245325,0.0058681637,0.8082449941,192067.743227326,163065514,0.000087412,0.0723450289,0,0
557.xz_r_xcomp-big,1.07775,1.8948935455,7.0825585809,580.2975,556068835.275,22242753411,0.2592959376,0.267543646,1,2
557.xz_r_comp-small-rep,1.4956179775,1.1095836261,8.0214077835,388.804494382,562463905.853933,100118575242,0.2572724398,0.1383277918,1,2
557.xz_r_xcomp-small-rep,1.7516513761,1.7160981374,5.1597751175,724.0110091743,864729138.422018,94255476088,0.3981225445,0.3325916534,1,2
557.xz_r_xcomp-big-rep,0.99309375,2.7493224452,8.4631134623,618.138125,717258106.23125,229522593994,0.3276668268,0.3248594572,1,2
557.xz_r_xcomp-small,1.1258823529,1.3414582372,6.7504815669,620.8411764706,420524662,7148919254,0.2068775721,0.1987203763,1,2
557.xz_r_comp-small,1.2478571429,0.5839384841,7.7337203453,321.3928571429,294969082.392857,8259134307,0.1397185108,0.0755055081,1,2
557.xz_r_comp-big,1.3997333333,0.803604525,7.2890573807,316.604,417357802.76,31301835207,0.1930029677,0.1102480723,1,2
557.xz_r_comp-big-rep,1.4004404568,1.0383388176,7.3939837766,320.9737357259,491742625.23491,301438229269,0.2240291896,0.1404302266,1,2
